,CAPEI,pcf,divyield,evm,pe_inc,pe_op_dil,pe_op_basic,bm,PEG_ltgforward,ptb,aftret_equity,sale_invcap,PEG_1yrforward,pe_exi,debt_assets
852,27.825,16.23,0.0159,9.628,20.958,19.629,19.162,0.273,1.796,4.158,0.21,1.938,1.467,20.958,0.607
2784,9.297,7.595,0.0229,6.282,9.756,10.036,9.979,1.041,1.408,1.019,0.121,0.733,1.285,9.756,0.759
1898,27.753,21.402,0.0305,12.523,15.275,29.333,28.902,0.336,2.67,3.053,0.232,0.609,-10.662,15.275,0.531
503,21.171,10.288,0.0155,9.245,16.875,16.986,16.658,0.182,1.53,6.188,0.466,2.376,0.853,16.875,0.792
2654,11.755999999999998,6.223,0.0382,8.115,11.728,10.701,10.623,0.374,0.977,2.094,0.17800000000000002,0.94,-1.73,11.728,0.24
320,10.984000000000002,7.349,0.0263,6.472,9.139,10.365,10.365,0.49,1.435,1.931,0.281,2.424,-1.304,9.139,0.504
2301,15.89,8.202,0.0225,8.497,14.247,14.122,14.122,0.317,1.169,3.033,0.203,3.937,3.522,14.417,0.594
1934,19.342,10.524,0.0108,8.6,14.004,14.127,13.65,0.601,1.129,1.733,0.147,0.8340000000000001,0.6559999999999999,14.004,0.476
3253,6.252000000000002,22.207,0.025765303867403312,16.287,14.703332745236413,15.698220536344389,15.315582921665488,1.194,1.848820932716269,0.919,0.043,0.213,0.5340689902982393,15.619501058574452,0.925
3512,13.265,8.195,0.0149,7.019,10.835,10.835,10.634,0.608,0.99,1.744,0.18600000000000005,2.337,2.487,10.835,0.588
3175,11.702,7.526,0.0201,9.241,11.815,10.705,10.633,0.473,1.3869999999999998,1.645,0.154,0.7,0.87,11.815,0.45
3119,31.249,16.825,0.025765303867403312,18.069000000000006,23.949,23.746,22.967,0.179,1.679,5.388,0.265,0.921,1.284,23.949,0.41
601,17.58,6.063,0.0323,4.475,8.857999999999997,8.738,8.679,0.58,0.998,1.79,0.272,2.68,0.374,8.857999999999997,0.499
2572,16.87,6.45,0.0144,14.755,12.566,13.550999999999998,13.478,0.345,1.848820932716269,3.224,0.281,0.416,0.5340689902982393,12.662,0.8809999999999999
98,17.348,11.84,0.0277,8.972999999999997,14.908,14.429,14.326,0.282,2.84,3.815,0.295,0.878,7.901,14.908,0.4370000000000001
2841,11.039,8.25,0.0232,6.096,9.557,9.586,9.48,0.8079999999999999,1.4480000000000002,1.246,0.14400000000000002,0.85,-4.305,9.557,0.758
1236,15.119000000000002,52.441,0.031,22.953000000000007,-527.5,83.277,82.015,0.4082713123452423,-37.13800000000001,3.5233883975946227,-0.02,7.848,-17.755,-519.77,1.01
40,15.612,10.982,0.0219,8.367,13.661,13.505999999999998,13.354,0.226,1.254,5.732,0.446,1.732,-1.597,13.661,0.482
1794,16.087,13.321,0.0341,11.092,19.185,14.69,14.593,0.212,3.0210000000000004,5.011,0.275,0.856,-24.269,19.185,0.515
1326,17.206,10.345,0.0386,8.02,12.145,10.528,10.427,0.419,1.132,2.254,0.209,1.836,-1.358,12.145,0.602
3176,13.998,9.003,0.0168,9.241,14.133,12.805,12.72,0.473,1.747,1.968,0.154,0.7,3.268,14.133,0.45
1869,18.986,12.886,0.0403,8.291,21.365,17.23,17.092,0.474,7.769,2.198,0.115,0.659,-5.101,21.365,0.477
3425,34.115,23.358,0.0071,17.712,30.624,30.624,30.624,0.2,1.897,4.5280000000000005,0.221,0.465,2.972,30.624,0.258
674,11.433,5.88,0.0309,4.184,8.679,8.679,8.615,0.7090000000000001,-17.123,1.5590000000000002,0.22,1.709,-4.088,8.679,0.409
454,19.149,9.082,0.034,20.326,20.386,18.898,18.761,0.463,2.077,1.988,0.12,0.35,4.814,17.612000000000005,0.792
935,20.634,13.532,0.0219,11.989,17.058,16.925,16.664,0.32,1.5,2.924,0.197,1.155,1.602,16.767,0.636
722,135.162,36.174,0.025765303867403312,21.002,5.3870000000000005,5.65,5.4129999999999985,0.2,0.277,7.11,0.239,2.145,0.266,5.3870000000000005,0.382
3122,27.194000000000006,13.312,0.025765303867403312,17.189,19.205,19.512,18.907,0.168,1.477,4.292,0.28300000000000003,0.991,1.225,19.205,0.409
1478,15.337,8.133,0.0431,9.422,13.593,10.195,10.072,0.7340000000000001,5.7120000000000015,1.251,0.117,0.374,1.716,13.593,0.575
2926,21.829,3.4960000000000004,0.0539,4.342,16.217,15.132,15.005999999999998,0.607,1.755,1.601,0.16399999999999998,0.794,0.5340689902982393,16.217,0.607
2917,18.498,2.688,0.0609,4.512,-123.12,19.168,19.168,0.648,-18.569000000000006,1.516,-0.018000000000000002,0.79,-19.698,-123.12,0.625
411,8.645,4.353,0.0276,17.338,15.083,13.79,13.79,0.755,1.27,1.33,0.095,0.308,1.864,14.48,0.84
1633,20.177,15.484000000000002,0.0286,10.137,22.08,16.712,16.359,0.349,3.392,3.508,0.17800000000000002,0.8809999999999999,3.633,22.08,0.466
